2026-05-16 01:13:24 [INFO    ] yt_downloader: ============================================================
2026-05-16 01:13:24 [INFO    ] yt_downloader: YouTube Automation Workflow Started
2026-05-16 01:13:24 [INFO    ] yt_downloader: Reference image: C:\Users\mohit\Pictures\MEmu Photo\IMG_20260515_231534_845.jpg
2026-05-16 01:13:24 [INFO    ] yt_downloader: Browser mode: HEADED (debugging)
2026-05-16 01:13:24 [INFO    ] yt_downloader: ============================================================
2026-05-16 01:13:24 [INFO    ] yt_downloader: [1/4] Extracting video names from image OCR...
2026-05-16 01:13:43 [INFO    ] yt_downloader: Found 160 potential video titles to search:
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - 11 14 tI 46 4 Q
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - cr Claude Code is FREE UNLIMITED Now No
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - REE GPU Needed
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - La a The BlackBox Security
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - CreateBackendferrmm SUpabase Tutorial Best FREE Firebase Alternative
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - Full Stack App 2026
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - Usd Creating a Weather App Using HTML, CSS and
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - JavaScript
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - CodeWithHarry
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - CREA - a 0 4
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - WEATHER A 43 24
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - Unlimited FREE Claude Code Alternative Open
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - Source No GPU
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - Compile Future
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - CLAUOE Local sfodel
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - ALTERNA 13 20
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - Get UNLIMITED Cursor Al for FREE 100 Working
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - FREE Bypass - NEW 2025 Method
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - Code Director
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - HOW TO MOD ANY APP How to MOD Any Android App in 2026 No Root
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - UNLOCK PREMIUM
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - MT Manager Antisplit Tutorial
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - T-BOY TECH ZONE
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - Man's JARVIS No Code
2026-05-16 01:13:43 [INFO    ] yt_downloader:  - Make First Million - Badar Munir
