2026-05-16 01:11:27 [INFO    ] yt_downloader: ============================================================
2026-05-16 01:11:27 [INFO    ] yt_downloader: YouTube Automation Workflow Started
2026-05-16 01:11:27 [INFO    ] yt_downloader: Reference image: C:\Users\mohit\Pictures\MEmu Photo\IMG_20260515_231534_845.jpg
2026-05-16 01:11:27 [INFO    ] yt_downloader: Browser mode: HEADED (debugging)
2026-05-16 01:11:27 [INFO    ] yt_downloader: ============================================================
2026-05-16 01:11:27 [INFO    ] yt_downloader: [1/4] Extracting video names from image OCR...
2026-05-16 01:11:45 [INFO    ] yt_downloader: Found 263 potential video titles to search:
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - 11 14 tI 46 4 Q
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - Downloads Q
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - cr Claude Code is FREE UNLIMITED Now No
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - REE GPU Needed
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - La a The BlackBox Security
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - 4 4 59 22K views 2 weeks ago
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - UNLIMITED
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - CreateBackendferrmm SUpabase Tutorial Best FREE Firebase Alternative
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - Full Stack App 2026
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - You B Tech
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - 23 54 27K views 3 months ago
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - Usd Creating a Weather App Using HTML, CSS and
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - JavaScript
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - CodeWithHarry
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - 784K views 3 years ago
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - CREA - a 0 4
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - WEATHER A 43 24
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - Unlimited FREE Claude Code Alternative Open
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - Source No GPU
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - Compile Future
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - 10K views 2 weeks ago
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - CLAUOE Local sfodel
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - CODE FREE
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - ALTERNA 13 20
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - Get UNLIMITED Cursor Al for FREE 100 Working
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - FREE Bypass - NEW 2025 Method
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - Code Director
2026-05-16 01:11:45 [INFO    ] yt_downloader:  - TRIALS
